,net_acc_mean,net_acc_std,net_acc_min,net_acc_max,EDA_phasic_mean,EDA_phasic_std,EDA_phasic_min,EDA_phasic_max,EDA_smna_mean,EDA_smna_std,EDA_smna_min,EDA_smna_max,EDA_tonic_mean,EDA_tonic_std,EDA_tonic_min,EDA_tonic_max,BVP_mean,BVP_std,BVP_min,BVP_max,TEMP_mean,TEMP_std,TEMP_min,TEMP_max,ACC_x_mean,ACC_x_std,ACC_x_min,ACC_x_max,ACC_y_mean,ACC_y_std,ACC_y_min,ACC_y_max,ACC_z_mean,ACC_z_std,ACC_z_min,ACC_z_max,Resp_mean,Resp_std,Resp_min,Resp_max,0_mean,0_std,0_min,0_max,BVP_peak_freq,TEMP_slope,0,1,2
0,0.8971306179069217,0.03105942375934928,-570.78,603.23,0.8971306179069217,0.27849955419575784,-570.78,603.23,0.8971306179069217,0.5218244575208945,-570.78,603.23,0.8971306179069217,0.308224801953507,-570.78,603.23,0.8971306179069217,209.75583634493805,-570.78,603.23,0.8971306179069217,0.010851275621558725,-570.78,603.23,0.8971306179069217,0.01670896063742141,-570.78,603.23,0.8971306179069217,1.1496653814416267e-05,-570.78,603.23,0.8971306179069217,1.1496653814416267e-05,-570.78,603.23,0.8971306179069217,3.0088213085203077,-570.78,603.23,0.8971306179069217,0.016708968547728967,-570.78,603.23,0.05423728813559322,-0.0004883831199621655,False,True,False
0,0.5442358092448627,0.13116055799600354,-654.21,453.14,0.5442358092448627,0.10575868482950036,-654.21,453.14,0.5442358092448627,0.990220194533455,-654.21,453.14,0.5442358092448627,0.11902236380913875,-654.21,453.14,0.5442358092448627,175.45451534956385,-654.21,453.14,0.5442358092448627,0.04247630715000516,-654.21,453.14,0.5442358092448627,0.01561894026948196,-654.21,453.14,0.5442358092448627,1.0746661813549576e-05,-654.21,453.14,0.5442358092448627,1.0746661813549576e-05,-654.21,453.14,0.5442358092448627,3.8311438996147786,-654.21,453.14,0.5442358092448627,0.012283195516921301,-654.21,453.14,0.13582342954159593,-0.0036462778568042056,False,True,False
0,0.8005120547417311,0.05566344322286296,-687.52,487.04,0.8005120547417311,0.14637204968561018,-687.52,487.04,0.8005120547417311,0.6866002334710831,-687.52,487.04,0.8005120547417311,0.18126127484694046,-687.52,487.04,0.8005120547417311,192.10908650314903,-687.52,487.04,0.8005120547417311,0.046044409597938776,-687.52,487.04,0.8005120547417311,0.012310452102065125,-687.52,487.04,0.8005120547417311,8.470245946921871e-06,-687.52,487.04,0.8005120547417311,8.470245946921871e-06,-687.52,487.04,0.8005120547417311,3.360963487491004,-687.52,487.04,0.8005120547417311,0.010631235200608703,-687.52,487.04,0.09491525423728814,-0.003963963963963927,False,True,False
0,0.27564608491553105,0.10809771847598294,-769.96,586.46,0.27564608491553105,0.1486148648774078,-769.96,586.46,0.27564608491553105,1.3883730430174035,-769.96,586.46,0.27564608491553105,0.14111496774503168,-769.96,586.46,0.27564608491553105,222.07245296002174,-769.96,586.46,0.27564608491553105,0.04284986710727586,-769.96,586.46,0.27564608491553105,0.020367935243406472,-769.96,586.46,0.27564608491553105,1.4014222996220397e-05,-769.96,586.46,0.27564608491553105,1.4014222996220397e-05,-769.96,586.46,0.27564608491553105,2.922295891188942,-769.96,586.46,0.27564608491553105,0.015990529663744438,-769.96,586.46,0.08149405772495755,-0.0038764478764479683,False,True,False
0,0.606771396110005,0.02317233726878985,-1092.57,651.42,0.606771396110005,0.19847964120029857,-1092.57,651.42,0.606771396110005,0.19096595533439648,-1092.57,651.42,0.606771396110005,0.19848462279351142,-1092.57,651.42,0.606771396110005,228.93573322590586,-1092.57,651.42,0.606771396110005,0.015057717056414888,-1092.57,651.42,0.606771396110005,0.01230848724881274,-1092.57,651.42,0.606771396110005,8.468894023356486e-06,-1092.57,651.42,0.606771396110005,8.468894023356486e-06,-1092.57,651.42,0.606771396110005,2.3160753667517935,-1092.57,651.42,0.606771396110005,0.012264223256334814,-1092.57,651.42,0.13559322033898305,0.000862968231389286,False,True,False
0,0.42055256795357304,0.019662806063017218,-997.59,743.27,0.42055256795357304,0.0198100174901715,-997.59,743.27,0.42055256795357304,0.12793219693934565,-997.59,743.27,0.42055256795357304,0.01719238361739138,-997.59,743.27,0.42055256795357304,233.41983008654492,-997.59,743.27,0.42055256795357304,0.03412262508559168,-997.59,743.27,0.42055256795357304,0.002572683742155423,-997.59,743.27,0.42055256795357304,1.770143278169954e-06,-997.59,743.27,0.42055256795357304,1.770143278169954e-06,-997.59,743.27,0.42055256795357304,2.0305072151715815,-997.59,743.27,0.42055256795357304,0.0025726849601078795,-997.59,743.27,0.040747028862478774,-0.00282124229492645,False,True,False
0,1.1283248898131937,0.03978123209488864,-372.16,623.53,1.1283248898131937,0.17475474101682506,-372.16,623.53,1.1283248898131937,0.6286365058512209,-372.16,623.53,1.1283248898131937,0.18485495575840494,-372.16,623.53,1.1283248898131937,162.07660394791054,-372.16,623.53,1.1283248898131937,0.015998539012916944,-372.16,623.53,1.1283248898131937,0.012429252078620131,-372.16,623.53,1.1283248898131937,8.55198665080233e-06,-372.16,623.53,1.1283248898131937,8.55198665080233e-06,-372.16,623.53,1.1283248898131937,2.6010453704236474,-372.16,623.53,1.1283248898131937,0.01182259389089488,-372.16,623.53,0.10847457627118644,-0.0004836415362730156,False,True,False
0,0.11865674446868055,0.12843509276783638,-643.12,570.47,0.11865674446868055,0.10020850925357923,-643.12,570.47,0.11865674446868055,0.8713480962385884,-643.12,570.47,0.11865674446868055,0.10219582219574772,-643.12,570.47,0.11865674446868055,177.61680715097185,-643.12,570.47,0.11865674446868055,0.029443338013829694,-643.12,570.47,0.11865674446868055,0.005759797817457018,-643.12,570.47,0.11865674446868055,3.9630473124720215e-06,-643.12,570.47,0.11865674446868055,3.9630473124720215e-06,-643.12,570.47,0.11865674446868055,4.281686263989257,-643.12,570.47,0.11865674446868055,0.005759800544243752,-643.12,570.47,0.13582342954159593,-0.001436699857752517,False,True,False
0,0.4211681428840748,0.004520003258654549,-97.86,97.12,0.4211681428840748,0.2207527294976527,-97.86,97.12,0.4211681428840748,0.12013444653932466,-97.86,97.12,0.4211681428840748,0.21848567513499995,-97.86,97.12,0.4211681428840748,40.96814694383298,-97.86,97.12,0.4211681428840748,0.03701617517047527,-97.86,97.12,0.4211681428840748,0.0007512303479149503,-97.86,97.12,0.4211681428840748,5.168864438832328e-07,-97.86,97.12,0.4211681428840748,5.168864438832328e-07,-97.86,97.12,0.4211681428840748,2.325847814414176,-97.86,97.12,0.4211681428840748,0.0007512307035602379,-97.86,97.12,0.14915254237288136,0.0033357041251778448,False,True,False
0,0.6288578958498264,0.06287160053937545,-560.27,604.86,0.6288578958498264,0.1635633412118141,-560.27,604.86,0.6288578958498264,0.6448367896421969,-560.27,604.86,0.6288578958498264,0.1301462454223427,-560.27,604.86,0.6288578958498264,181.69827990420612,-560.27,604.86,0.6288578958498264,0.022830224173284112,-560.27,604.86,0.6288578958498264,0.02071568472046148,-560.27,604.86,0.6288578958498264,1.4253493136272786e-05,-560.27,604.86,0.6288578958498264,1.4253493136272786e-05,-560.27,604.86,0.6288578958498264,2.635872495270713,-560.27,604.86,0.6288578958498264,0.018087489305316434,-560.27,604.86,0.1629881154499151,-0.0007014157014156231,False,True,False
0,0.3492162757580119,0.05276912508989349,-822.42,456.26,0.3492162757580119,0.11883614034060618,-822.42,456.26,0.3492162757580119,0.35453591930325223,-822.42,456.26,0.3492162757580119,0.13114417600989567,-822.42,456.26,0.3492162757580119,188.02453574751667,-822.42,456.26,0.3492162757580119,0.013588978475650812,-822.42,456.26,0.3492162757580119,0.010997102778635056,-822.42,456.26,0.3492162757580119,7.5665917438556845e-06,-822.42,456.26,0.3492162757580119,7.5665917438556845e-06,-822.42,456.26,0.3492162757580119,2.9893347100114815,-822.42,456.26,0.3492162757580119,0.010517166959207385,-822.42,456.26,0.05432937181663837,-0.0008724513987672202,False,True,False
0,0.8267234097953754,0.00822057733601326,-154.77,222.77,0.8267234097953754,0.03317647446122503,-154.77,222.77,0.8267234097953754,0.01402878309364802,-154.77,222.77,0.8267234097953754,0.026977124197095213,-154.77,222.77,0.8267234097953754,56.39908482284145,-154.77,222.77,0.8267234097953754,0.009967075088966841,-154.77,222.77,0.8267234097953754,0.00011906584759574993,-154.77,222.77,0.8267234097953754,8.192363730049646e-08,-154.77,222.77,0.8267234097953754,8.192363730049646e-08,-154.77,222.77,0.8267234097953754,1.5734539894932011,-154.77,222.77,0.8267234097953754,0.00011906590396355744,-154.77,222.77,0.12203389830508474,0.00042674253200575664,False,True,False
0,0.4381337931531449,0.010821303076980772,-727.28,394.18,0.4381337931531449,0.0014098098709276958,-727.28,394.18,0.4381337931531449,0.0024187501658409598,-727.28,394.18,0.4381337931531449,0.010098178841913816,-727.28,394.18,0.4381337931531449,167.06358945004376,-727.28,394.18,0.4381337931531449,0.016448782761840152,-727.28,394.18,0.4381337931531449,0.00018105668557693102,-727.28,394.18,0.4381337931531449,1.24576631666829e-07,-727.28,394.18,0.4381337931531449,1.24576631666829e-07,-727.28,394.18,0.4381337931531449,2.447724273450883,-727.28,394.18,0.4381337931531449,0.00018105677129226071,-727.28,394.18,0.06791171477079797,0.0009530583214793075,False,True,False
0,0.36803683497019657,0.004495072736134465,-243.94,239.04,0.36803683497019657,0.0029730008011133358,-243.94,239.04,0.36803683497019657,0.014900304217719613,-243.94,239.04,0.36803683497019657,0.00589862480636902,-243.94,239.04,0.36803683497019657,78.04570395723894,-243.94,239.04,0.36803683497019657,0.026364861401636012,-243.94,239.04,0.36803683497019657,0.0001386935071793211,-243.94,239.04,0.36803683497019657,9.542851126100848e-08,-243.94,239.04,0.36803683497019657,9.542851126100848e-08,-243.94,239.04,0.36803683497019657,2.5242231227060294,-243.94,239.04,0.36803683497019657,0.00013869357283919753,-243.94,239.04,0.06779661016949153,0.0020293978188714733,False,True,False
0,0.7404585500384552,0.007593506922233064,-119.2,87.79,0.7404585500384552,0.0010311531943252136,-119.2,87.79,0.7404585500384552,2.8007545809151227e-07,-119.2,87.79,0.7404585500384552,0.006861336944901135,-119.2,87.79,0.7404585500384552,41.063672317685786,-119.2,87.79,0.7404585500384552,0.038545505915692085,-119.2,87.79,0.7404585500384552,9.728515090208431e-05,-119.2,87.79,0.7404585500384552,6.693735926935072e-08,-119.2,87.79,0.7404585500384552,6.693735926935072e-08,-119.2,87.79,0.7404585500384552,2.03155203980588,-119.2,87.79,0.7404585500384552,9.728519695853686e-05,-119.2,87.79,0.13582342954159593,0.0034945471787578087,False,True,False
0,0.5199659725642838,0.008585876518049696,-159.1,164.22,0.5199659725642838,0.005048961966377582,-159.1,164.22,0.5199659725642838,0.016946794464926696,-159.1,164.22,0.5199659725642838,0.014205727341322619,-159.1,164.22,0.5199659725642838,55.93232955528914,-159.1,164.22,0.5199659725642838,0.026666666666667282,-159.1,164.22,0.5199659725642838,0.00014725452509557275,-159.1,164.22,0.5199659725642838,1.0131894702286771e-07,-159.1,164.22,0.5199659725642838,1.0131894702286771e-07,-159.1,164.22,0.5199659725642838,2.086134083216381,-159.1,164.22,0.5199659725642838,0.00014725459480838086,-159.1,164.22,0.09491525423728814,0.0023886743886744697,False,True,False
0,0.6830491811185073,0.027916476842492252,-500.27,335.57,0.6830491811185073,0.04587974105188836,-500.27,335.57,0.6830491811185073,0.13969813293095934,-500.27,335.57,0.6830491811185073,0.04109907120738031,-500.27,335.57,0.6830491811185073,142.53102607260942,-500.27,335.57,0.6830491811185073,0.0379226847930592,-500.27,335.57,0.6830491811185073,0.0045972010966363235,-500.27,335.57,0.6830491811185073,3.16311891985156e-06,-500.27,335.57,0.6830491811185073,3.16311891985156e-06,-500.27,335.57,0.6830491811185073,2.8560793205128268,-500.27,335.57,0.6830491811185073,0.0045972032730298975,-500.27,335.57,0.12224108658743633,0.00330962541488844,False,True,False
0,0.4735809805330404,0.04027717419488272,-545.71,691.01,0.4735809805330404,0.03173039415534991,-545.71,691.01,0.4735809805330404,0.19357550211462582,-545.71,691.01,0.4735809805330404,0.021961355617019274,-545.71,691.01,0.4735809805330404,160.78257817944132,-545.71,691.01,0.4735809805330404,0.04468868043744767,-545.71,691.01,0.4735809805330404,0.011999461676473682,-545.71,691.01,0.4735809805330404,8.256267989812113e-06,-545.71,691.01,0.4735809805330404,8.256267989812113e-06,-545.71,691.01,0.4735809805330404,2.988920171620469,-545.71,691.01,0.4735809805330404,0.011999467357223938,-545.71,691.01,0.14915254237288136,0.0032859174964437834,False,True,False
